,title,location,description
562,"
Private Banking Business Analyst
","


Credit Suisse

","Location: Dallas
Schedule: Full-time
Business Area: Private Banking

We Offer... 
Integral member of PB USA Relationship Managers’ business, primarily focused on analytics of existing client base and client acquisition.  Extensive interaction with prospects, clients, product teams, and other CS divisions, such as investment banking. 
 
THE ROLE INVOLVES: 
-Perform intensive market research in order to track new leads and follow up 
-Create investment proposals and asset allocation proposals using Andromeda and other reporting tools 
-Research and propose blends of managers in conjunction with Preferred Advisors 
-Create pitch book presentations and materials for prospect and client meetings 
-Attend meetings and conference calls related to various product categories, including but not limited to, Preferred Advisors, Volaris, Equity Derivatives, Structured Products, Lending, and the weekly CIO call 
-Become expert on various analytical and reporting tools, such as Andromeda, Lockwood, Bloomberg, etc 
-Resolve client inquiries regarding securities quotes, account balances, activity, and documentation, statement information, and general product and/or service information. 
-Responsible for order execution, processing and settlement of trades on client accounts. 
-Extensive interaction and communication with traders 
-Daily interaction with Pershing, Sales Staff, External Clients, Controllers, Compliance, Asset Management, Investment Banking, Traders, Credit Officers, IT. 
-Use judgment in selecting a structure/platform for clients and research each on the desk or with Bloomberg 
-Use discretion in managing time with client meetings, analytical work, and research 
-Practice independent discretion for time and pricing of equity orders for clients 
-Master and support sales assistant responsibilities as needed 
-Special projects as they arise 
 
OTHER DUTIES AND RESPONSIBILITIES 
May perform other duties and responsibilities that management may deem necessary from time to time.
 

You Offer... 

To perform this job successfully an individual must be able to perform each essential duty satisfactorily.  The requirements listed below are representative of the knowledge, skill, and/or ability required.  Incumbents will be evaluated, in part, based on performance of each essential function.  Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions. 
 
EDUCATION and/or EXPERIENCE 
-Bachelors Degree required, Series 7 & 66 required. 
 
BUSINESS COMPETENCIES 
-Knowledge of financial services industry 
-Knowledge of industry rules and regulations 
-Excellent teamwork, interpersonal and conflict resolution skills 
-Excellent Customer/Client Service skills Exceptional written, verbal communication and platform presentation skills

EEO Statement 
Credit Suisse is an Equal Opportunity Employer and does not discriminate in its employment decisions on the basis of any protected category.

To the extent permitted or required by applicable law, a candidate who is offered employment will be subject to a criminal record check and other background checks."
563,"
Senior Valuation Analyst
","


PineBridge Investments

","Job Description
The Senior Valuation Analyst (“SVA”) will oversee the valuation process for PineBridge’s Alternative Investments Group, which includes Direct Private Equity (Structured Capital and Emerging Markets), Private Equity Fund of Funds (Primary & Secondary), and Hedge Fund of Funds.  Currently, there are approximately 50 direct PE Investments with a market value of approximately $1.3b.  Additionally, there are approximately 500 Fund of Fund Investments with a market value of approximately $7b.  The SVA will be a part of the Alternative Investments Finance Team (12 people) which covers approximately 80 funds.  Responsibilities include: 

-Work with the Global Valuation Committee (“GVC”) to implement the Best in Class Valuation Process. 
-Update the valuation models for the relevant comps, WACC inputs, portfolio company financial info, ownership, etc.on a quarterly basis. 
-Work with the deal team to develop the valuation models for any new investments.  After the models are updated, the SVA will reach out to each deal team to review the model and make any applicable adjustments factoring in the deal team’s knowledge of the portfolio company and industry expertise. 
-Work with the portfolio companies and deal team to obtain the quarterly financial information and capitalization table. For any new investments, the SVA will read the purchase and sale agreements to obtain an understanding of the securities purchased along with any rights and privileges. 
-Hold valuation meetings with the GVC and Deal Teams on a quarterly basis. 
-Serve as the primary contact with the auditors for all valuation issues. 
-Ensure consistency and timeliness of valuations across all investments/deal teams. 
-Maintain detailed files supporting the inputs and assumptions used in valuations.

Desired Skills & Experience
Bachelor's Degree required  
-CFA and/or MBA Preferred 
-5-10 years of illiquid asset valuation experience (preferably private equity) 
-Experience in Large Global Valuation Firm or Big 4 Public Accounting Firm’s Valuation Group 
-Team Player, highly motivated, ability to multi-task 
-Strong working knowledge of Income and Market Valuation Approaches, as well as the Option Pricing Model

Company Description
PineBridge is an independent asset manager with over 60 years of experience in developed and emerging markets. We manage US $68.2 billion across our platform for institutional and individual investors worldwide as of 30 June 2013. Our globally integrated investment platform offers innovative, core and specialized alpha-oriented solutions across asset allocation, equities, fixed income, private equity and hedge funds.  What differentiates us is our integration of on-the-ground investment teams across asset classes, bringing investors the combined benefits of global perspectives and structured insights.

Additional Information
Posted: September 17, 2013
Type: Full-time 
Experience: Mid-Senior level 
Functions: Finance  
Industries: Investment Management  
Job ID: 6584479"
564,"
Assistant Designer - Accessories Print & Graphics
","


Aeropostale

","General Summary:

The Assistant Designer provides operational support to the Design team in the creation and execution of a line. He/she researches relevant trends, maintains the organization of the design office, communicates with the cross functional team (Merchandising, Production, Graphics), and assists the team in preparation for all milestone meetings.

Position Responsibilities:

•Research and identify trends that are relevant to the P.S. customer
•Shop the market on a regular basis for ideas and inspiration
•Maintain awareness of current selling information as well as market trends and conditions
•Develop strong working relationships with cross functional team members (Merchandising, Production and Graphics) through communication and problem solving.
•Create sketches of styles in development
•Execute technical packages that are organized and accurate
•Maintain seasonal collection boards and walls
•Create and update seasonal assortment sheet. 
•Understand the basics of the production process as it relates to the classification. 
•Maintain awareness of corporate calendar and help supervisor manage deadlines.
•Attend and participate in fit sessions. Take detailed notes and follow up as needed.
•Adhere to the design team budget and invoice process 
•Assist in day to day projects including filing/organizing, copying and updating development packages

Position Requirements:

•Strong sketching skills
•Understanding of the tween market and the P.S. customer
•Ability to multi-task and shift priorities 
•Excellent organizational and communication skills
•Proficiency in Microsoft Excel, Photoshop, & Illustrator

We offer a competitive salary and a comprehensive benefit package that includes outstanding bonus potential, a casual work environment, a generous merchandise discount and realistic growth potential. Aéropostale, Inc. is an equal opportunity employer, M/F

Please include work samples or a link to your online portfolio in your application."
565,"
Visual Manager - Domestic Outlet
","


Kate Spade

","Overview:
overview:
•	responsible for driving sale volume for all kate spade new york domestic outlet stores with compelling and innovative visual merchandising presentations

•	apply the visual aesthetic and styling technique associated with kate spade new york to obtain the iconic presentations of merchandising, mannequins and propping, as well as executing window displays using a global visual directive

•	act as a liaison of communication between corporate direction and store level execution

•	manage all merchandising direction provided to stores, including all merchandising presentations and window installations for new store openings, renovations and new store openings 

•	lead, manage and develop all outlet field visual managers and coordinators on all aspects of visual training including stores

•	manage budgets and calendars as related to the outlet visual field team

•	must be flexible to any and all visual needs of the company as a whole 

•	participate in all in-house market presentations

•	develop and manage internal relationships with the buyers and planners 

•	manage all outlet related visual operations 

•	model proper service environment through gracious manner in all relationships and communication
Responsibilities:
qualifications: 

skills and abilities required:
•	professional visual merchandising experience in a specialty retail store environment in addition to the outlet retail environment 

•	strong management qualities and the ability to communicate effectively to all levels within the organization, including strength in presentation skills

•	comfort in making decisions and interacting in a professional manner with all cross functional partners 

•	proficient in: in-design software (visual directive/store floorplans) and windows-based software - word, excel and outlook. (booking meetings and travel arrangements, expense reports, creating department’s calendars)

•	strategic planner, analytical, well organized with strong time-management skills
Qualifications:
physical requirements:
•	available to work flexible hours, including early mornings, evenings and weekends

•	able to travel using various forms of transportation such as airplanes, trains and buses

•	possess a driver’s license and have the ability to drive to store locations

•	able to stand and stretch for extended periods of time

•	comfortable with heights and climbing ladders

•	able to safely lift boxes up to 40 pounds

education and experience required:
•	a minimum of four years visual merchandising experience in luxury goods or a comparable retail environment in a corporate environment

•	college degree preferred

*LI-CN1"
566,"
Manager, Global Communications, MAC
","


MAC

","Brand: M·A·C
 Primary Location:Americas-United States-New York
 MAC - 130 Prince Street 130 Prince Street  New York 10012
 Schedule: Full-time
 Shift: 1st (Day) Shift
 Travel: Yes, 5 % of the Time
 Job Type: Standard
 Description
 
POSITION SUMMARY:
Work with North America GC team to execute all Global Communications initiatives in North America.
 
AREAS OF FOCUS: Select national media, regional media, artists relations, fashion week, Sr. Artists (SAs), strategies. 
 
KEY RESPONSIBILITIES:
Spearhead the creation and implementation of global launch strategies for select priority collections, store openings
Build North American national media relationships and pitch select feature stories
Manage daily regional media in the US: strategize and execute all regional print, broadcast, radio press initiatives for priority product launches, spokespeople, and special projects
In conjunction with regional press; oversee media and develop relationships with the US SAs/Directors. Facilitate phone and email interviews across all media categories.
SAs: responsible for optimizing all makeup artist event opportunities, manage media training for SAs and orchestrate artist media appearances. Responsible for maintaining and updating SA bios, resumes and photos
Work with Director to create pilot program for counter artists media training and interviews
Responsible for fulfilling daily national, regional, and online media requests. Develop and maintain relationships with beauty associates and assistants.
Plan and execute regional media tours 2-3 times/year, trend presentations and desksides in key markets
Work with AR team on press for key master classes, pro-to-pro events and assist in selecting key initiatives for PR support
Fashion Week: responsible for managing all aspects of backstage press outreach; coordinating appointments; securing designer approvals etc;
Oversee junior staff for all media beauty awards (including CEW), ensuring that M·A·C entries are submitted with internal approval and on deadline
Work with Director on Artist Relations activities
Responsible for writing select press releases, fact sheets and cover letters
Oversee junior staff to ensure samples are ordered, product fulfillment
Assist NA and global team with regional makeup artistry requests
 Qualifications
 
Position requires 5-7 years public relations experience
Excellent mid-level media contacts (national, regional, online, broadcast)
Must possess proactive critical thinking skills. Able to take initiative, anticipate next steps and offer solutions
Possess a self-starter attitude and be able to work simultaneously on multiple projects with several individuals
Must be highly detail-oriented and accurate with unprompted follow-through
Excellent organizational and communication skills required
Computer skills: Microsoft Word for Windows, Excel, PowerPoint, Outlook, Cision, Lexis Nexis, Fashion GPS 
 
EEO
We are an equal opportunity employer."
567,"
Financial Analyst
","


MetLife

","Summary of Position Responsibilities:
This position reconciles and researches foreign and USD cash for derivative settlements as part of the Cash Settlements group in the Investments department.  This also includes processing accounting as it relates to MetLife Inc.’s investments in derivatives and other complex financial instruments for daily settlements. On a monthly basis, the position is responsible for booking Cash entries as part of the close process, as well as reconciling accounts to the ledger.  The position is responsible for USD and Foreign cash reconciliation and accounting for multiple derivative instrument types, including OTC, Futures and Cleared Trades.

The derivatives program is the primary tool for managing MetLife Inc.’s exposures to changes in interest rates, foreign currency exchange rates, equity markets and credit risk across its income portfolio, mortgage loan portfolio, various insurance liabilities such as GMXB products and its Global GIC program as well as its equity position in International Subsidiaries.

MetLife Inc.’s use of derivatives is very diverse and sophisticated and includes the following instruments: interest rate swaps, interest rate caps, interest rate floors, foreign currency swaps, foreign currency forwards, financial

Primary Functional Responsibilities: 
-Perform financial reconciliations for USD and foreign currency, requesting of FX Buys/Sells, Clearing Foreign Cash in USD reconciliation, reporting and performing accounting duties necessary to resolve reconciliation issues.
-The position is responsible for daily, monthly, and quarterly reconciliations related to collateral (OTC and Futures) as well as processing monthly entries for GAAP reporting
-Work with Data Integrity team to reconcile daily payable/receivable as it relates to Cash. 
-Complete audit requests in a timely and accurate manner.
-Run reports and queries to track current open items and identify issues.
-Ensure appropriate accounting documentation is produced and maintained.
-Participate in the effort to set team objectives that align with the needs of key customers (e.g., Derivatives – Middle Office, Derivatives – Front Office, Trade Settlements), monitor progress against those objectives and manage priorities in response to emerging and competing initiatives.

Job Requirements
Minimum Qualifications: 
-3-5 years of Accounting experience; experience with financial statements, including balance sheet and income statements.

Preferred Qualifications: 
-BS/BA in Finance, Math or Accounting is preferred
-Experience with Derivative financial instruments is preferred.
-Good consensus builder, team player
-Excellent oral and written communications skills
-Strong organizational and researching skills


Business Category: Financial Management Group

Job Category: Accounting

Salary Grade: 29

Number of Openings: 1

Equal Employment Opportunity
MetLife is proud to be an equal opportunity/affirmative action employer.  We are committed to attracting, retaining and maximizing the performance of a diverse and inclusive workforce.

How To Apply
For immediate consideration, click on the Apply Now button below.  You will be directed to complete an on-line profile which may take 15 – 20 minutes to complete.  Upon completion, you will receive an automated confirmation email verifying you have successfully applied to the job."
568,"
Associate Director, Social Media
","


Chanel

","Description

We are currently recruiting for the following open position:
Department/Division: Prestige                         
Title: Associate Director, Social Media
Location: New York, NY

POSITION SUMMARY:

Chanel Inc. a leader in the luxury good industry is seeking an Associate Director of Social Media who will be responsible for overseeing and executing the brand Social Media Strategy and running our social media platforms globally.

POSITION RESPONSIBILITIES:

Impulse the social media strategy focusing on “owned platforms”, coordinating with stakeholders and ensure the adoption of relevant social media techniques
Bring expertise and influence social media campaigns, working together with Paris and US teams
Maintain and monitor owned properties: Facebook page, Twitter account, Youtube Channel, Google+ account, Vimeo channel, Linkedin page
Source and manage relationships (together with the Director, social media) with social monitoring and platform partners to support and develop partnership opportunities
Act as the advocate of social media integration within Chanel, influencing communication strategies
Provide benchmarks and metrics to measure performance of our actions
Monitor the competition and be aware of market changes and developments
Be aware of and develop a point of view on  new and emerging platforms
Establish guidelines for all our partners to ensure the best brand presence (ex: retailers)
POSITION REQUIREMENTS:
Minimum Education: Bachelor degree required, Masters’ preferred
Minimum Years of Experience: 5 years of relevant experience
SKILLS AND KNOWLEDGE:
Excellent verbal, written, and presentation skills
Proven relationship skills, especially with a diversified set of interlocutors
Proven management of teams a plus
Strategic thinking and approach
Very high attention to detail
Understanding of popular social networks – design, functionality, users
Actively participates in a wide variety of social media activities such as blogging, community development and management, social bookmarking, commenting, etc.
Microsoft Office, Internet tools expertise
Digital landscape understanding and passion
SPECIAL REQUIREMENTS OF THE POSITION:
French language a plus
Chanel, Inc. is an Equal Opportunity Employer.

EOE M/F/D/V"
569,"
Analyst, PC Valuations, FI Credit
","


Barclays Capital  

","Business Area: Global Finance 
Contract Type: Permanent

Department Overview 
Barclays moves, lends, invests and protects money for customers and clients worldwide.  With over 300 years of history and expertise in banking, we operate in over 50 countries and employ over 140,000 people.

We provide large corporate, government and institutional clients with a full spectrum of solutions to their strategic advisory, financing and risk management needs. Our clients also benefit from access to the breadth of expertise across Barclays.  We’re one of the largest financial services providers in the world, and are also engaged in retail banking, credit cards, corporate banking, and wealth and investment management.

For further information about Barclays, please visit our website www.barclays.com. 

It is the policy of Barclays to ensure equal employment opportunity without discrimination or harassment on the basis of race, color, creed, religion, national origin, alienage or citizenship status, age, sex, sexual orientation, gender identity or expression, marital or domestic/civil partnership status, disability, veteran status, genetic information, or any other basis protected by law. 

Main Function
To provide verification of desk valuation using independent pricing sources 

Main Duties
-To analyze and report on the various pricing components/valuation of all Fixed Income credit products including Single Name CDS, Bonds, Loans, and Credit Indices.
-Analysis on a periodic basis of the mark to market to ensure that all aspects of the valuation (i.e. spreads, recovery rates, restructuring types) are being accurately reflected in the risk systems.
-Work with Line Product Control, Risk Management and other functions of the business to establish pricing processes, thresholds, and reporting requirements.
-Timely resolutions of pricing/valuation and reserve differences.
-Develop proper control methodology and prepare documentation of all new processes and products within the group.

Person Requirements
Basic Qualifications
-Bachelor’s degree within the following: Finance, Economics, Statistics, or Mathematics
-1+ years of broad-based knowledge of financial service related operations
-1+ years experience of credit markets and products

Preferred Qualifications
-Strong PC skills, especially with Excel and Access
-Ability to effectively communicate with colleagues and clients within the organization
-Strong team player"
570,"
Holiday Retail Visual Merchandiser
","


Macy's

","Description
 
Overview:

As a Holiday Visual Merchandising Associate, you will be an integral part of bringing the magic of Macy's to life during the fast-paced holiday season.  Associates in this role perform a number of functions that are critical to offering our customers the best experience when they shop in our store.   While all holiday positions require working as part of a team to meet department and store objectives, your individual responsibilities include creating the customer's first impression of Macy's.  We will rely on you to not only implement corporate visual standards, but also add your own unique and innovative visual flair.  Holiday Visual Merchandising Associates are an integral part of Macy's success, giving us the ability to maintain our iconic merchandising standards, recognized as among the best in the industry.
 
In order to present our customers with the best holiday shopping experience, many of our Holiday Visual Merchandising Associates arrive prior to store opening and remain after closing to ensure we are ready to make Macy's magic.  Holiday associates will have the opportunity to work a flexible schedule on a temporary basis, which may include early mornings, evenings, weekends and busy events such as the day after Thanksgiving and the day after Christmas.  And don't forget - just in time for holiday shopping, you will receive an employee discount of up to 20% starting your first day!
 
Essential Functions:
 
Be creative, innovative and imaginative through execution of Visual Merchandising
Execute visual standards according to company directives
Maintain and present visual displays in an influential manner
Produce quality work in a consistent, timely and organized manner
Update/maintain mannequin and form styling as directed by new receipts and seasonal changes
Grid fixtures /Adjust lighting
Installation of window displays (where applicable)
Execute the promotional calendar
Maintain Visual shop, department tools, supplies and visual equipment
Assist with special events
Perform other duties as assigned
Regular, dependable attendance and punctuality
Qualifications:
Education/Experience: Prior Visual Display, Fashion Merchandising, Design experience a plus; experience in retail merchandising in ready-to-wear or home
Communication Skills: Strong communication and interpersonal skills. Ability to read and interpret a variety of diagrams
Mathematical Skills: No specific mathematical skills required
Reasoning Ability: Ability to work as part of a team, or independently with little direct supervision
Physical Demands: Position may include frequent lifting, bending, reaching, and the use of ladders and other equipment.
Other Skills: Highly organized with an attention to detail. Comfortable in using a computer and open to learning new programs and systems.
Work Hours: Available to work a flexible schedule, which may include early morning, evening, overnight, weekends, holidays, and major sales events. Hours are subject to change based on business needs.
Macy's is an Equal Opportunity Employer, committed to a diverse and inclusive work environment"
571,"
Director-Beauty
","


Urban Outfitters

","Founded in 1970, Urban Outfitters (www.UrbanOutfitters.com) operates more than 200 stores in the United States, Canada, and Europe, all offering an eclectic mix of merchandise.  We stock our stores with what we love, calling on our—and our customer's—interest in contemporary art, music, and fashion.  From men's & women's apparel and accessories to items for the apartment, we offer a lifestyle-specific shopping experience for the educated, urban-minded individual in the 18 to 30 year-old range—both online and in our stores as well as through our catalog.
 
 
Title
 
Director of Beauty
Reports to
 
DMM of Accessories
Supervises
 
Assistant/Associate Buyer
Overview
The Beauty Director is directly accountable for delivering operational, administrative, and financial results, driving e-commerce growth and marketing efforts and leading product development of online exclusive content. The Director is responsible for delivering the sales and profit plan through the precise execution of an exciting and well-conceived merchandise strategy. The objective of the Beauty Director is to enhance our current offering and to develop relations with new and existing brands whilst ensuring maximum value and productivity for the business. They will ensure that we have an irresistible assortment made up of the latest trend and best brands available to our customers.
 
Our Company
Founded in 1970, Urban Outfitters (www.UrbanOutfitters.com) operates more than 200 stores in the United States, Canada, and Europe, all offering an eclectic mix of merchandise.  We stock our stores with what we love, calling on our—and our customer's—interest in contemporary art, music, and fashion.  From men's & women's apparel and accessories to items for the apartment, we offer a lifestyle-specific shopping experience for the educated, urban-minded individual in the 18 to 30 year-old range—both online and in our stores as well as through our catalog.
 
Urban Outfitters’ parent company, Urban Outfitters, Inc. (www.URBN.com) is an innovative specialty retailer which offers a variety of lifestyle merchandise to highly defined customer niches through brands in­cluding Urban Outfitters, Anthropologie, Free People, Terrain, and BHLDN.  Urban Outfitters, Inc., is both a Fortune 1000 and S&P 500 ranked company with $2.5 Billion in revenues.
 
Responsibilities
ASSORTMENT EXECUTION
Build an assortment that is brand appropriate
Create a balanced assortment in terms of: fashion vision, quality, value, price point, style/SKU count and key item depth
Continually create newness in concepts to add freshness to the assortment
Edit to appropriate blend of private label and branded product
Suggest category extensions / web exclusives to further growth
 
MARKET SKILLS AND AWARENESS
Represent the brand with integrity and authority
Build a relationship with the market that results in a differentiated product mix
“Sell” the brand and attract suppliers and new brands to Urban’s mix
Exhibit market awareness through knowledge of relevant brands and reference points
Negotiate price, delivery, exclusivity, and terms to support business objective
 
 
PLANNING
Manage the Open to Buy (OTB) plan by utilizing flow sheets and item plans, and know when to challenge the OTB based on business needs
Analyze the business and react with timely reorders and cancellations
Maximize markdown dollars and understand seasonality
 
MULTI-CHANNEL SYNERGY
Understand core customer and buys to relevant attributes
Partner with the Direct team to offer a balanced assortment and a consistent customer experience with our stores
Support online expansion and testing opportunities
Work cohesively to create multi-channel synergy and achieve overall financial goals for the brand
 
COMMUNICATION AND LEADERSHIP
Communicate clearly, concisely, timely and professionally
Listen to others; be a team player and a healthy competitor
Keep individual, division, and total company goals in mind when making decisions
Be decisive and support decisions with facts and analysis
Provide leadership to employees and to peers and fosters an environment of continual training and development
Support the recruiting efforts of the brand by bringing in new talent and selling the company to those we wish to attract.
 
Education
Bachelor’s Degree in Fashion, Business, or a related field.
 
Location
Philadelphia, PA
 
Travel
Some travel required."
572,"
DESIGNER, CUT AND SEW KNITS, WOMEN'S
","


Tommy Hilfiger

","Overview
As one of the world’s leading premium lifestyle brands, Tommy Hilfiger delivers superior styling, quality and value to consumers worldwide. The brand celebrates the essence of Classic American Cool and provides a refreshing twist to the preppy fashion genre.

Since its debut in 1985, the Tommy Hilfiger Group has become a US $6.0 billion apparel and retail company by offering consumers a breadth of beautifully designed, high quality products including men’s, women’s and children’s apparel, sportswear, denim, and a range of licensed products such as accessories, fragrances and home furnishings.

Under the leadership of founder Tommy Hilfiger and Chief Executive Officer Fred Gehring, the brand can be found in leading department and specialty stores, as well as in its own expanding network of freestanding retail stores, worldwide.  When PVH Corp. (NYSE: PVH) (then known as Phillips-Van Heusen Corporation) acquired the Company in May 2010, Gehring also assumed the role of CEO of PVH’s international operations, while Hilfiger remains the Company's Principal Designer and provides leadership and direction for all aspects of the design process.

Tommy Hilfiger today has become a global brand with strong recognition and a distribution network in over 90 countries and more than 1,200 retail stores throughout North America, Europe, Latin America and the Asia Pacific region.

Responsibilities
Produce creative ideas for the design team that follow the season’s direction or inspire a new direction thru shopping the market,magazine research, and knowing past season successes and failures.  Complete all aspects of design packages foreach new garment, and manage post hand-off issues from Merchandising, Production, and overseas factories.

Duties & Responsibilities:

Design new garment ideas with innovative ways to present in shop.
Redesign or revise garment designs
Researching and working closely with factories/PD for fabric developments. Always improving our qualities.
Fit garments on model and make fit comments.  
Building best fabric libraries
Building strong relations with our merch/pd partners
Stay on top of best selling reports
Researching/developing trims
Qualifications
Design taste / Style
Ability to work under extreme pressure
Basic communication skills
Photoshop/Illustrator skills
Enthusiastic
Optimistic
It is the policy of PVH to ensure equal employment opportunities to all qualified persons without regard to race, gender, religion, age, national origin, citizenship status, disability, qualified veteran status, marital status, or sexual orientation."
573,"
Assistant Production Coordinator (Accessories- Import Jewelry)
","


Forever 21

","Department Summary: Forever 21 is seeking an innovative, energetic, creative and passionate Assistant Production Coordinator to join our dynamic Accessories team!

Job Purpose: The Assistant Production Coordinator will be responsible for providing administrative support to the department by relaying correspondence to and from vendors, tracking current and new orders, and maintaining development data. 

Deliverables:
• Track the timeliness of vendor follow-up by logging the information into a tracking file
• Ship all packages containing garment samples, lab dips, tech packs, etc. to vendors
• Distribute incoming packages directed to the department to the appropriate recipients 
• Create style numbers and update development data  
• Maintain an organized storage system for samples by sorting and storing samples

Knowledge, Skills, and Qualifications: 
• Must possess a High School Diploma
• Must have 0-1 years of administrative experience; background in fashion is preferred
• Experience in an Accessories environment preferred but not required
• Must be proactive, detail oriented, and possess the ability to meet tight deadlines.
• Must be able to effectively communicate with Supervisors and vendors on a regular basis (written and verbal)
• Must be organized in order to effectively manage multiple tasks simultaneously

At Forever 21, style isn’t dictated…It’s inspired. Forever 21 is the leading fashion retailer of the latest trends and the season’s hottest styles at can’t-resist-prices. U.S. and international locations stay true to the fast-fashion destination’s iconic store aesthetic giving fashion fans all over the globe the unforgettable shopping experience that is the one and only Forever 21.  

Joining the Forever 21 family means joining an incredible team of talented, passionate and innovative people who work together to bring fashion to everyone, everywhere.  We’re always on the lookout for talented individuals eager to thrive in our fast-paced, dynamic environment filled with vast opportunities for career growth and development. This is a place where your ideas become actualized, creativity is encouraged and the possibilities are endless. Be part of something epic. Be part of Forever 21. Apply today!"
574,"
Temporary Financial Analyst 
","


IEEE Corporate

","Responsibilities
·         Assist in the annual financial reporting process, including but not limited to, the initial review of all Geographic Unit finances and compliance documentation
·         Evaluate and analyze balance sheet and income statement activity in multiple currencies for potential non-compliance issues
·         Assist in the verification that proper internal controls are in place and maintained for Geographic Units that both participate and do not participate in the IEEE Concentration Banking/Custody Account Program
·         Assist in the analysis, reporting consolidation, and review of eligibility for all long-term investment accounts held by Geographic Units around the globe
·         Assist in the analysis and compilation of Geographic Units reserve balances and account tracking
 
Requirements
·         Undergraduate degree with a major in Accounting, Finance or Business Administration
·         Minimum 1-2 years professional experience
·         Prior knowledge of IEEE and its activities, Oracle Databases and department operations is preferred
·         Must have familiarity with Generally Accepted Accounting Principles (GAAP)
·         He/she must be a technologically savvy worker with significant experience in current PC application software
·         Knowledge of advanced capabilities of MS Office Professional application and web-based data access capability using General Ledger programs such as NetSuite or other Quick Books type applications"
575,"
ANALYST, INVESTMENT BANKING
","


Morgan Stanley  

","Morgan Stanley is a worldwide leader in investment banking and is one of the top firms in mergers & acquisitions, underwriting of equity and equity-related transactions, corporate debt issuance and high-yield debt financing. With professionals in 30 countries, we are consistently recognized for our performance in both traditional and innovative financing techniques, helping a wide range of clients around the world to make and execute decisions about their business strategy and financial structure.

Placement and duration 
Analysts are hired into the New York office, then placed into one of the industry coverage groups or Mergers & Acquisitions (M&A). Opportunities are also available in our regional offices in Calgary, Chicago, Houston, Los Angeles, Menlo Park, San Francisco and Toronto. During the two-year program, Analysts work on a variety of corporate transactions and have significant responsibility. The work is challenging and Analysts are encouraged to roll up their sleeves, dig into financial statements and think creatively. Our lean deal team structure allows Analysts to work closely with senior officers on a variety of projects. Analysts will attend and be active participants in client meetings. Exceptional Third-Year Analysts may be offered the Accelerated Career Path (ACP), which promotes directly to Associate-level positions.

Training programme 
The Analyst Program begins with an intensive, seven-week training program in New York, introducing Analysts to the Firm, its businesses, values and culture. Customized by Investment Banking and Global Capital Markets professionals, the classroom-based training covers both the conceptual fundamentals and practical application of subjects such as: accounting, corporate valuation, M&A processes and analysis, modeling and credit analysis. Analysts interact with peers and senior officers to learn about the importance of developing networks, time management and career paths. Analysts are also trained and required to complete mandatory regulatory exams (i.e., Series 79).

Responsibilities
The roles and responsibilities of an Analyst vary by, among other factors, department, but may include:
• Analyzing and synthesizing financial and operating information about companies, industries and governments.
• Analyzing detailed corporate and financial information.
• Creating statistical exhibits that analyze comparative financial performance.
• Building models to illustrate projected financial results and value to companies.
• Developing marketing memoranda and participating in client presentations.
• Participating in the execution of financings and M&A transactions.
• Contribute strategy recommendations.

Qualifications /skills /requirements
• You are a current senior undergraduate student.
• You have a strong interest in financial services.
• You are analytical, quantitative, a leader, team player, results driven, multi-tasker, possess a strong work ethic, have excellent oral and written communication skills and a positive attitude.
• You have exceptional analytical and decision-making abilities.

Application process & deadlines 
Students must apply online at www.morganstanley.com/careers. If Morgan Stanley recruits on your campus, you may also be required to apply through your school’s on-campus system. Deadline for applications is October 1.

Contacts 
For questions, contact MSCampusRecruiting@morganstanley.com."
576,"
Investment Banking Analyst, Gaming, Lodging & Leisure Group
","


Stifel  

","Job Description 
SUMMARY OF RESPONSIBILITIES
Stifel is looking for an Analyst to join its Gaming, Lodging, and Leisure Investment Banking Team in New York.  Analysts at Stifel get exposure to a wide variety of transactions, including public and private offering, mergers & acquisitions, and corporate financial advisory services.  Analysts work on multiple projects simultaneously, with primary responsibilities for the research and analysis related to transaction generation and execution.  Specific responsibilities may include conducting industry research, building financial models to analyze company projections or potential transactions, drafting offering memorandums for public or private financings, drafting client presentation materials and working with clients to execute financing or merger transactions.

Qualifications 
-An undergraduate degree in finance or accounting
-A minimum of one year of investment banking experience
-Strong quantitative / analytical skills
-Superior attention to detail
-Solid work ethic
-Excellent verbal and written communication skills
-Ability to effectively manage multiple simultaneous project deadlines
-Proficiency in Excel and PowerPoint

Please note:  To be eligible, applicants must be authorized to work in the United States without requiring visa sponsorship now or in the future.

Required Skills 
KNOWLEDGE, SKILLS AND QUALIFICATIONS
-Bachelor’s degree in a business-related field; prefer degree to be in Finance or Accounting.
-1-2 years of related experience.

Position Type: Full-Time/Regular"
